Platform,Year_of_Release,Platform_Global_Sales
2600,1980,11.38
2600,1981,35.77
2600,1982,28.86
NES,1983,10.96
2600,1983,5.83
2600,1984,0.27
NES,1984,50.09
2600,1985,0.45
NES,1985,53.44
2600,1986,0.66
NES,1986,36.41
NES,1987,19.76
2600,1987,1.98
2600,1988,0.75
NES,1988,45.01
GB,1988,1.43
2600,1989,0.62
GB,1989,64.98
NES,1989,7.85
NES,1990,15.74
GB,1990,4.89
SNES,1990,26.16
GEN,1990,2.6
GB,1991,5.57
NES,1991,6.11
SNES,1991,16.21
GEN,1991,4.34
GB,1992,25.48
SNES,1992,32.98
GEN,1992,12.66
NES,1992,1.98
GG,1992,0.04
NG,1993,0.21
NES,1993,3.61
GEN,1993,3.07
SNES,1993,40.01
SCD,1993,1.5
PS,1994,6.02
3DO,1994,0.02
SAT,1994,3.64
SCD,1994,0.37
SNES,1994,35.08
GEN,1994,8.11
GB,1994,12.17
NES,1994,0.11
NG,1994,0.8
SNES,1995,32.21
3DO,1995,0.08
GB,1995,3.6
NG,1995,0.33
SAT,1995,11.58
TG16,1995,0.16
PS,1995,35.92
SAT,1996,7.69
NG,1996,0.1
PS,1996,94.68
GB,1996,36.02
N64,1996,34.11
SNES,1996,15.93
PS,1997,136.08
N64,1997,39.51
GB,1997,6.37
SNES,1997,0.99
SAT,1997,6.77
SNES,1998,0.22
DC,1998,3.39
GB,1998,26.9
PS,1998,169.58
SAT,1998,3.82
N64,1998,49.28
SAT,1999,0.09
N64,1999,57.96
PS,1999,144.57
SNES,1999,0.26
DC,1999,5.17
GB,1999,38.01
PS,2000,96.3
N64,2000,34.01
DC,2000,5.99
GB,2000,19.76
N64,2001,3.26
GB,2001,9.24
PS,2001,35.52
DC,2001,1.07
N64,2002,0.08
DC,2002,0.29
PS,2002,6.69
PS,2003,2.05
DC,2007,0.02
DC,2008,0.04
GB,N/A,1.03
PS,N/A,3.27
2600,N/A,10.51
N64,N/A,0.67
